innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
1.5986,1.5488,1.0241,2.0014,1.1002,2662.0000,189,National Australia Bank Limited,2019
0.3436,0.3865,0.2446,0.5627,0.3491,3190.0000,190,National Australia Bank Limited,2020
0.5302,0.5668,1.1588,0.5713,0.2647,2860.0000,191,National Australia Bank Limited,2021
0.6044,0.0000,0.4626,0.2780,0.0665,1629.0000,192,National Australia Bank Limited,2011
0.2922,0.3582,0.2421,0.0095,0.0000,1670.0000,193,National Australia Bank Limited,2012
1.1769,0.2202,0.7972,0.6291,0.9488,2282.0000,194,National Australia Bank Limited,2010
0.2527,0.7152,0.3073,0.3495,0.3607,1958.0000,195,National Australia Bank Limited,2011
0.5910,0.6308,0.8782,0.5822,0.2871,1923.0000,196,National Australia Bank Limited,2012
0.7109,0.1480,0.7386,0.3196,0.6025,2719.0000,197,National Australia Bank Limited,2020
1.0992,0.6008,1.2334,3.4703,1.9220,850.0000,198,Spark New Zealand Limited,2015
1.0754,0.2106,0.7720,0.0576,0.2656,1999.0000,199,Spark New Zealand Limited,2015
1.9827,0.0000,0.3126,0.5031,1.0227,1327.0000,200,Spark New Zealand Limited,2015
1.4675,1.8179,0.9154,0.6312,0.5126,1974.0000,201,Telecom Corp of New Zealand Ltd,2011
0.6169,0.5368,1.1467,0.9068,0.6104,2279.0000,202,Telecom Corp of New Zealand Ltd,2011
0.4955,0.1081,0.6987,0.2680,0.0000,2210.0000,203,Telecom Corp of New Zealand Ltd,2012
1.4899,2.0054,1.7923,2.6206,1.5292,1544.0000,204,Telecom Corp of New Zealand Ltd,2013
1.6474,0.2593,1.2291,0.2948,0.4145,2742.0000,205,Telecom Corp of New Zealand Ltd,2012
2.0941,0.2847,0.7430,0.3184,0.7870,2315.0000,206,Telecom Corp of New Zealand Ltd,2013
1.8702,0.1345,1.3085,0.2215,0.1724,2562.0000,207,Telecom Corp of New Zealand Ltd,2014
0.8302,0.5964,0.3580,0.6664,0.2267,1857.0000,208,Telecom Corp of New Zealand Ltd,2013
